sex,birth_year,marital_status,religion,job_code,income,region_code
male,1935,1,2,620.0,,1
female,1941,1,2,,,1
male,1926,2,2,,,1
male,1949,1,1,942.0,100.0,1
female,1955,1,1,930.0,123.8,1
female,1990,5,1,312.0,222.5,1
male,1937,1,1,,,1
female,1936,1,1,,,1
female,1988,5,2,521.0,,2
female,1990,5,1,521.0,212.0,2
female,1992,5,1,312.0,183.0,2
male,1954,1,2,941.0,185.0,2
female,1960,1,1,951.0,,2
female,1934,2,1,,,1
male,1963,5,1,,,1
male,1968,5,2,773.0,,1
female,1945,2,2,,,1
female,1991,5,1,313.0,135.0,1
male,1993,5,1,,,1
male,1970,5,2,,,1
male,1970,5,2,,,1
male,1975,1,1,231.0,350.6,1
female,1968,1,1,274.0,,1
female,2005,0,1,,,1
female,2007,0,1,,,1
female,1971,5,2,131.0,340.0,1
male,1946,1,1,823.0,,1
female,1951,1,1,999.0,,1
female,1979,1,1,311.0,375.0,1
male,1978,1,1,311.0,405.8,1
female,2007,0,1,,,1
male,2010,0,1,,,1
male,1945,1,1,,,1
female,1951,1,1,,,1
male,1982,1,1,135.0,,1
female,1990,1,1,313.0,162.0,1
male,1967,1,2,151.0,202.0,1
female,1970,1,2,521.0,93.0,1
male,1995,5,2,,,1
female,1999,0,2,,,1
female,1933,2,1,,,2
male,1947,1,1,910.0,,1
female,1942,1,1,,,1
male,1993,5,2,,,1
female,1995,5,2,313.0,132.5,1
female,1942,2,1,,,1
male,1961,5,2,772.0,,1
male,1932,1,2,,,1
female,1939,1,2,,,1
female,1978,5,2,313.0,175.0,1
male,1983,5,1,761.0,150.0,1
male,1949,3,1,,,1
female,1927,2,1,,,1
male,1945,1,2,,,1
female,1951,1,1,,,1
female,1965,3,2,441.0,186.8,1
female,1986,5,2,286.0,150.0,1
male,1969,1,2,772.0,,1
female,1930,2,2,,,1
female,1992,1,2,,,1
female,2014,0,2,,,1
male,1945,1,2,,,1
female,1949,1,2,,,1
male,1968,1,2,254.0,,2
female,1969,1,2,254.0,,2
male,1997,0,2,,,2
male,1959,1,1,873.0,269.0,2
female,1960,1,1,941.0,30.8,2
female,1986,1,2,,,2
male,1980,1,2,431.0,407.0,2
female,1964,3,1,521.0,164.7,1
male,1962,1,1,259.0,150.0,1
female,1965,1,1,,,1
female,1991,5,1,,,1
male,1994,5,1,,,1
male,1935,3,1,,,1
male,1956,1,1,930.0,,1
female,1959,1,1,930.0,,1
female,1993,5,1,710.0,120.0,1
male,1988,5,1,399.0,275.0,1
male,1965,1,2,811.0,,1
female,1965,1,2,811.0,,1
female,1992,5,2,,,1
female,1996,5,2,,,1
male,1964,1,1,312.0,375.1,1
female,1966,1,1,421.0,120.0,1
male,1990,5,1,930.0,,1
female,1997,0,1,,,1
female,1953,3,1,,,1
male,1951,3,2,,,1
female,1980,5,2,510.0,333.0,1
female,1944,1,1,530.0,,1
male,1939,1,2,,,1
male,1950,1,2,,,1
female,1954,1,2,,,1
female,1984,1,2,314.0,195.0,1
female,1987,5,2,243.0,233.0,1
male,1978,1,2,272.0,373.0,1
female,1960,3,1,951.0,56.0,1
female,1992,5,1,314.0,135.0,2
female,1995,5,1,,,1
